usage_date,account_id,service,region,resource_id,usage_hours,cost_usd,team,env
2025-01-02,acct_001,compute,us-east-1,i-001,24,12.40,platform,prod
2025-01-02,acct_001,storage,us-east-1,vol-101,24,3.20,platform,prod
2025-01-03,acct_001,network,us-east-1,eni-77,24,1.10,platform,prod
2025-01-05,acct_002,compute,us-west-2,i-045,12,6.50,analytics,prod
2025-01-05,acct_002,database,us-west-2,db-12,24,18.90,analytics,prod
2025-01-07,acct_003,compute,eu-west-1,i-211,8,4.25,platform,dev
2025-01-07,acct_003,storage,eu-west-1,vol-302,24,2.10,platform,dev
2025-01-10,acct_002,network,us-west-2,eni-90,24,1.40,analytics,prod
2025-01-12,acct_004,compute,us-east-2,i-312,24,13.75,core,prod
2025-01-12,acct_004,database,us-east-2,db-09,24,21.30,core,prod
2025-01-14,acct_004,storage,us-east-2,vol-909,24,4.60,core,prod
2025-01-18,acct_001,compute,us-east-1,i-001,24,12.10,platform,prod
2025-01-20,acct_002,compute,us-west-2,i-046,24,12.80,analytics,prod
2025-01-20,acct_002,storage,us-west-2,vol-204,24,3.90,analytics,prod
2025-01-25,acct_003,network,eu-west-1,eni-31,24,1.00,platform,dev
2025-02-01,acct_001,compute,us-east-1,i-005,24,12.60,platform,prod
2025-02-02,acct_001,database,us-east-1,db-14,24,19.80,platform,prod
2025-02-03,acct_002,compute,us-west-2,i-050,24,13.10,analytics,prod
2025-02-05,acct_002,storage,us-west-2,vol-305,24,4.10,analytics,prod
2025-02-06,acct_003,compute,eu-west-1,i-230,24,11.40,platform,dev
2025-02-06,acct_003,network,eu-west-1,eni-44,24,1.20,platform,dev
2025-02-10,acct_004,database,us-east-2,db-11,24,22.50,core,prod
2025-02-10,acct_004,storage,us-east-2,vol-910,24,4.80,core,prod
2025-02-14,acct_004,compute,us-east-2,i-330,24,14.20,core,prod
